시군구,단지명,번지,전용면적(㎡),계약년월,계약일,최고층,층,건축년도,주차수,세대수,현관구조,난방방식,초등학교 도보,200m 이내 버스정류장,200m이내 공원,200m 이내 마트나 편의점,1km 이내 영화관,건설회사,거래금액(만원)
광주광역시 광산구 도산동,대덕1,1138.2,59.31,201902,19,10,8,1990,0.5,150,0,1,4,1,1,1,0,대덕건설,8800
광주광역시 광산구 도산동,대덕1,1138.2,59.31,201904,4,10,10,1990,0.5,150,0,1,4,1,1,1,0,대덕건설,8000
광주광역시 광산구 도산동,대덕1,1138.2,59.31,201904,6,10,8,1990,0.5,150,0,1,4,1,1,1,0,대덕건설,8550
광주광역시 광산구 도산동,대덕1,1138.2,39.15,201905,5,10,2,1990,0.5,150,0,1,4,1,1,1,0,대덕건설,5850
광주광역시 광산구 도산동,대덕1,1138.2,31.59,201906,7,10,10,1990,0.5,150,0,1,4,1,1,1,0,대덕건설,5500
광주광역시 광산구 도산동,대덕1,1138.2,59.31,201801,8,10,3,1990,0.5,150,0,1,4,1,1,1,0,대덕건설,5000
광주광역시 광산구 도산동,대덕1,1138.2,59.31,201802,5,10,5,1990,0.5,150,0,1,4,1,1,1,0,대덕건설,9000
광주광역시 광산구 도산동,대덕1,1138.2,39.15,201805,31,10,5,1990,0.5,150,0,1,4,1,1,1,0,대덕건설,6600
광주광역시 광산구 도산동,대덕1,1138.2,39.15,201806,7,10,9,1990,0.5,150,0,1,4,1,1,1,0,대덕건설,6480
광주광역시 광산구 도산동,대덕1,1138.2,39.15,201807,9,10,1,1990,0.5,150,0,1,4,1,1,1,0,대덕건설,6500
광주광역시 광산구 도산동,대덕1,1138.2,59.31,201807,26,10,3,1990,0.5,150,0,1,4,1,1,1,0,대덕건설,7800
광주광역시 광산구 도산동,대덕1,1138.2,59.31,201809,22,10,5,1990,0.5,150,0,1,4,1,1,1,0,대덕건설,8900
광주광역시 광산구 도산동,대덕1,1138.2,39.15,201811,1,10,10,1990,0.5,150,0,1,4,1,1,1,0,대덕건설,6350
광주광역시 광산구 도산동,대덕1,1138.2,39.15,201811,19,10,9,1990,0.5,150,0,1,4,1,1,1,0,대덕건설,6250
광주광역시 광산구 도산동,대덕1,1138.2,39.15,201812,14,10,6,1990,0.5,150,0,1,4,1,1,1,0,대덕건설,4700
광주광역시 광산구 도산동,대덕1,1138.2,59.31,201812,21,10,4,1990,0.5,150,0,1,4,1,1,1,0,대덕건설,8300
광주광역시 광산구 도산동,대덕1,1138.2,31.59,201704,27,10,8,1990,0.5,150,0,1,4,1,1,1,0,대덕건설,5800
광주광역시 광산구 도산동,대덕1,1138.2,39.15,201704,28,10,8,1990,0.5,150,0,1,4,1,1,1,0,대덕건설,6500
광주광역시 광산구 도산동,대덕1,1138.2,39.15,201706,6,10,8,1990,0.5,150,0,1,4,1,1,1,0,대덕건설,6900
광주광역시 광산구 도산동,대덕1,1138.2,59.31,201706,27,10,3,1990,0.5,150,0,1,4,1,1,1,0,대덕건설,8000
광주광역시 광산구 도산동,대덕1,1138.2,59.31,201707,12,10,10,1990,0.5,150,0,1,4,1,1,1,0,대덕건설,7200
광주광역시 광산구 도산동,대덕1,1138.2,39.15,201708,3,10,7,1990,0.5,150,0,1,4,1,1,1,0,대덕건설,6500
광주광역시 광산구 도산동,대덕1,1138.2,39.15,201709,21,10,10,1990,0.5,150,0,1,4,1,1,1,0,대덕건설,6500
광주광역시 광산구 도산동,대덕1,1138.2,39.15,201710,14,10,7,1990,0.5,150,0,1,4,1,1,1,0,대덕건설,6800
광주광역시 광산구 도산동,대덕1,1138.2,39.15,201711,15,10,1,1990,0.5,150,0,1,4,1,1,1,0,대덕건설,6800
광주광역시 광산구 도산동,대덕1,1138.2,31.59,201712,6,10,7,1990,0.5,150,0,1,4,1,1,1,0,대덕건설,5700
광주광역시 광산구 도산동,대덕1,1138.2,39.15,201712,26,10,6,1990,0.5,150,0,1,4,1,1,1,0,대덕건설,6800
