,0
0,5975.0
1,5255.0
2,7310.0
3,18555.0
4,18695.0
5,18700.0
6,13420.0
7,13305.0
8,13790.0
9,13325.0
10,11310.0
11,11210.0
12,11380.0
13,11420.0
14,11400.0
15,7595.0
16,11480.0
17,11590.0
18,11865.0
19,11420.0
20,20380.0
21,19480.0
22,18880.0
23,20310.0
24,20190.0
25,20500.0
26,20280.0
27,20330.0
28,20530.0
29,19830.0
30,19845.0
31,24870.0
32,25570.0
33,24520.0
34,22190.0
35,21910.0
36,24880.0
37,24880.0
38,22570.0
39,23230.0
40,21545.0
41,21520.0
42,21400.0
43,22280.0
44,21960.0
45,21970.0
46,21880.0
47,21730.0
48,20115.0
49,20360.0
50,20290.0
51,21580.0
52,21960.0
53,20590.0
54,20695.0
55,20505.0
56,21800.0
57,21440.0
58,21770.0
59,21820.0
60,21760.0
61,21770.0
62,21680.0
63,21620.0
64,20500.0
65,21800.0
66,20980.0
67,20475.0
68,21800.0
69,21800.0
70,21945.0
71,21700.0
72,20310.0
73,36270.0
74,37480.0
75,37005.0
76,34160.0
77,28130.0
78,28620.0
79,28660.0
80,24340.0
81,26660.0
82,23570.0
83,23070.0
84,22905.0
85,23255.0
86,25380.0
87,27860.0
88,18485.0
89,16750.0
90,19985.0
91,20660.0
92,20690.0
93,17560.0
94,13828.0
95,14594.0
96,14652.0
97,10480.0
98,7895.0
99,8525.0
100,8210.0
101,15716.5
102,16140.0
103,16140.0
104,16550.0
105,19105.0
106,19195.0
107,18600.0
108,18520.0
109,18950.0
110,18690.0
111,19080.0
112,19080.0
113,17905.0
114,18515.0
115,18860.0
116,10555.0
117,10905.0
118,18440.0
119,12500.0
120,10390.0
121,11700.0
122,10060.0
123,19965.0
124,12930.0
125,11400.0
126,6850.0
127,13050.0
128,12650.0
129,13155.0
130,13210.0
131,11350.0
132,17930.0
133,5328.0
134,5328.0
135,5328.0
136,5328.0
137,9415.0
138,33695.0
139,33490.0
140,33170.0
141,33440.0
142,37920.0
143,35730.0
144,30750.0
145,43940.0
146,49840.0
147,43780.0
148,42700.0
149,42010.0
150,30595.0
151,30645.0
152,29450.0
153,30800.0
154,30090.0
155,18056.3
156,13640.0
157,15766.0
158,18650.0
159,29675.0
160,29740.0
161,36910.0
162,37750.0
163,37750.0
164,48580.0
165,36480.0
166,17102.0
167,12730.0
168,12575.0
169,11960.0
170,14605.0
171,15100.0
172,33490.0
173,33140.0
174,32185.0
175,32085.0
176,28770.0
177,29680.0
178,29125.0
179,30510.0
180,29320.0
181,31190.0
182,29770.0
183,29810.0
184,19990.0
185,20050.0
186,20190.0
187,17840.0
188,20665.0
189,20845.0
190,19033.0
191,19243.0
192,19910.0
193,19193.0
194,19023.0
195,19025.0
196,19400.0
197,35455.0
198,33695.0
199,19590.0
